Stock,Rows,Start,End,Missing_Pct
000002_SZ,6424,2000-01-03,2025-12-30,0.0
000063_SZ,6424,2000-01-03,2025-12-30,0.0
000333_SZ,2984,2013-09-18,2025-12-30,0.0
000568_SZ,6424,2000-01-03,2025-12-30,0.0
000651_SZ,6424,2000-01-03,2025-12-30,0.0
000661_SZ,6424,2000-01-03,2025-12-30,0.0
000858_SZ,6424,2000-01-03,2025-12-30,0.0
002230_SZ,4298,2008-04-25,2025-12-30,0.0
002304_SZ,3924,2009-11-06,2025-12-30,0.0
002415_SZ,3651,2010-12-20,2025-12-30,0.0
300059_SZ,3835,2010-03-19,2025-12-30,0.0
600000_SS,6424,2000-01-03,2025-12-30,0.0
600009_SS,6424,2000-01-03,2025-12-30,0.0
600015_SS,5460,2003-09-12,2025-12-30,0.0
600016_SS,6173,2000-12-19,2025-12-30,0.0
600019_SS,6178,2000-12-12,2025-12-30,0.0
600028_SS,6007,2001-08-08,2025-12-30,0.0
600030_SS,5639,2003-01-06,2025-12-30,0.0
600036_SS,5833,2002-04-09,2025-12-30,0.0
600048_SS,4723,2006-07-31,2025-12-30,0.0
600050_SS,5702,2002-10-09,2025-12-30,0.0
600104_SS,6424,2000-01-03,2025-12-30,0.0
600276_SS,6217,2000-10-18,2025-12-30,0.0
600519_SS,5994,2001-08-27,2025-12-30,0.0
600585_SS,5876,2002-02-07,2025-12-30,0.0
600588_SS,6065,2001-05-18,2025-12-30,0.0
600690_SS,6424,2000-01-03,2025-12-30,0.0
600886_SS,6424,2000-01-03,2025-12-30,0.0
600887_SS,6424,2000-01-03,2025-12-30,0.0
600900_SS,5413,2003-11-18,2025-12-30,0.0
601006_SS,4722,2006-08-01,2025-12-30,0.0
601088_SS,4433,2007-10-09,2025-12-30,0.0
601138_SS,1832,2018-06-13,2025-12-30,0.0
601166_SS,4596,2007-02-05,2025-12-30,0.0
601169_SS,4442,2007-09-19,2025-12-30,0.0
601186_SS,4331,2008-03-10,2025-12-30,0.0
601288_SS,3755,2010-07-15,2025-12-30,0.0
601318_SS,4583,2007-03-01,2025-12-30,0.0
601328_SS,4533,2007-05-15,2025-12-30,0.0
601398_SS,4664,2006-10-27,2025-12-30,0.0
601600_SS,6423,2000-01-04,2025-12-30,0.0
601601_SS,4378,2007-12-25,2025-12-30,0.0
601668_SS,3990,2009-07-29,2025-12-30,0.0
601728_SS,1057,2021-08-20,2025-12-30,0.0
601766_SS,4220,2008-08-18,2025-12-30,0.0
601800_SS,3355,2012-03-09,2025-12-30,0.0
601857_SS,4414,2007-11-05,2025-12-30,0.0
601939_SS,4438,2007-09-25,2025-12-30,0.0
601988_SS,4741,2006-07-05,2025-12-30,0.0
SSE_INDEX,6294,2000-01-04,2025-12-30,0.0
