Stock,Rows,Start,End,Missing_Pct
AAPL,6538,2000-01-03,2025-12-30,0.0
ABBV,3269,2013-01-02,2025-12-30,0.0
ABT,6538,2000-01-03,2025-12-30,0.0
ACN,6149,2001-07-19,2025-12-30,0.0
ADBE,6538,2000-01-03,2025-12-30,0.0
AMD,6538,2000-01-03,2025-12-30,0.0
AMGN,6538,2000-01-03,2025-12-30,0.0
AMZN,6538,2000-01-03,2025-12-30,0.0
AVGO,4126,2009-08-06,2025-12-30,0.0
BAC,6538,2000-01-03,2025-12-30,0.0
BRK_B,6538,2000-01-03,2025-12-30,0.0
CAT,6538,2000-01-03,2025-12-30,0.0
COST,6538,2000-01-03,2025-12-30,0.0
CRM,5416,2004-06-23,2025-12-30,0.0
CSCO,6538,2000-01-03,2025-12-30,0.0
CVX,6538,2000-01-03,2025-12-30,0.0
DHR,6538,2000-01-03,2025-12-30,0.0
GE,6538,2000-01-03,2025-12-30,0.0
GOOGL,5376,2004-08-19,2025-12-30,0.0
HD,6538,2000-01-03,2025-12-30,0.0
IBM,6538,2000-01-03,2025-12-30,0.0
INTC,6538,2000-01-03,2025-12-30,0.0
INTU,6538,2000-01-03,2025-12-30,0.0
JNJ,6538,2000-01-03,2025-12-30,0.0
JPM,6538,2000-01-03,2025-12-30,0.0
KO,6538,2000-01-03,2025-12-30,0.0
LIN,6538,2000-01-03,2025-12-30,0.0
LLY,6538,2000-01-03,2025-12-30,0.0
MA,4931,2006-05-25,2025-12-30,0.0
MCD,6538,2000-01-03,2025-12-30,0.0
META,3424,2012-05-18,2025-12-30,0.0
MRK,6538,2000-01-03,2025-12-30,0.0
MSFT,6538,2000-01-03,2025-12-30,0.0
NEE,6538,2000-01-03,2025-12-30,0.0
NFLX,5940,2002-05-23,2025-12-30,0.0
NOW,3395,2012-06-29,2025-12-30,0.0
NVDA,6538,2000-01-03,2025-12-30,0.0
ORCL,6538,2000-01-03,2025-12-30,0.0
PEP,6538,2000-01-03,2025-12-30,0.0
PG,6538,2000-01-03,2025-12-30,0.0
QCOM,6538,2000-01-03,2025-12-30,0.0
RTX,6538,2000-01-03,2025-12-30,0.0
TMO,6538,2000-01-03,2025-12-30,0.0
TSLA,3901,2010-06-29,2025-12-30,0.0
TXN,6538,2000-01-03,2025-12-30,0.0
UNH,6538,2000-01-03,2025-12-30,0.0
V,4475,2008-03-19,2025-12-30,0.0
VZ,6538,2000-01-03,2025-12-30,0.0
WMT,6538,2000-01-03,2025-12-30,0.0
XOM,6538,2000-01-03,2025-12-30,0.0
