Strategy,IC_mean,Rank_IC_mean,ICIR,Rank_ICIR,Ann_Return_Net,Sharpe_Net,Max_Drawdown,Win_Rate,Avg_Turnover
Regime-Aware GP (Ours),0.0221,0.0133,0.1056,0.0638,2.81%,0.1765,-37.29%,52.3%,36.86%
Vanilla GP,0.0259,0.0205,0.1260,0.1038,5.15%,0.3112,-20.56%,58.1%,53.02%
GP (Bear only),-0.0019,0.0064,-0.0102,0.0425,0.07%,0.0269,-4.82%,16.3%,2.50%
GP (Sideways only),0.0182,0.0097,0.0901,0.0455,1.17%,0.0743,-38.32%,51.2%,30.70%
GP (Bull only),0.0774,0.0240,0.2880,0.1251,8.17%,0.5294,-24.51%,57.0%,59.01%
Momentum (12-1M),0.0028,0.0059,0.0122,0.0250,-2.57%,-0.1369,-40.65%,47.7%,24.46%
Mean Reversion,0.0185,0.0221,0.0932,0.1125,4.46%,0.2981,-20.19%,57.0%,82.23%
Low Volatility,-0.0390,-0.0265,-0.1592,-0.1186,-10.24%,-0.5454,-65.71%,43.0%,29.46%
Trend (200-DMA),-0.0238,-0.0243,-0.0945,-0.0989,-2.51%,-0.1327,-46.94%,50.0%,32.11%
Combined Baseline,-0.0061,0.0033,-0.0294,0.0162,-2.26%,-0.1345,-38.28%,50.0%,65.43%
