Strategy,IC_mean,Rank_IC_mean,ICIR,Rank_ICIR,Ann_Return_Net,Sharpe_Net,Max_Drawdown,Win_Rate,Avg_Turnover
Regime-GP Soft (Ours),0.0000,-0.0036,0.0002,-0.0178,-5.81%,-0.3888,-49.04%,41.9%,71.34%
Regime-GP Hard (Ours),0.0059,-0.0065,0.0269,-0.0319,-2.56%,-0.1924,-35.34%,39.5%,63.78%
Regime-GP Ensemble (Ours),0.0000,-0.0036,0.0002,-0.0178,-5.81%,-0.3888,-49.04%,41.9%,71.34%
Vanilla GP,0.0409,0.0329,0.2098,0.1839,15.77%,1.0804,-10.19%,59.3%,69.19%
GP (Bear only),0.0009,-0.0074,0.0045,-0.0496,-0.19%,-0.0774,-3.12%,10.5%,2.50%
GP (Bull only),0.1469,-0.0037,0.6295,-0.0181,-6.58%,-0.4349,-51.74%,43.0%,71.63%
Momentum (12-1M),0.0028,0.0059,0.0122,0.0250,-2.57%,-0.1369,-40.65%,47.7%,24.46%
Mean Reversion,0.0185,0.0221,0.0932,0.1125,4.46%,0.2981,-20.19%,57.0%,82.23%
Low Volatility,-0.0390,-0.0265,-0.1592,-0.1186,-10.24%,-0.5454,-65.71%,43.0%,29.46%
Trend (200-DMA),-0.0238,-0.0243,-0.0945,-0.0989,-2.51%,-0.1327,-46.94%,50.0%,32.11%
