Date,Open,High,Low,Close,Volume
2000-01-02,217.6,217.6,217.6,217.6,500
2000-01-02,207.4,217.25,207.4,216.75,676126
2000-01-03,210.0,215.5,209.0,209.95,3450
2000-01-03,217.0,219.0,206.0,208.2,679215
2000-01-04,194.0,217.8,194.0,213.25,1120951
2000-01-04,204.0,215.0,203.5,212.35,3470
2000-01-05,215.0,229.9,215.0,222.1,1968998
2000-01-06,224.0,239.9,223.1,239.9,2199431
2000-01-09,259.0,259.1,248.0,258.85,1720542
2000-01-10,250.0,250.0,240.0,241.0,1951
2000-01-10,260.0,260.0,238.15,238.15,1207916
2000-01-11,240.0,246.0,229.0,240.25,938579
2000-01-11,239.9,240.0,230.9,240.0,1950
2000-01-12,243.0,245.0,231.6,235.45,565754
2000-01-13,234.95,243.0,233.0,239.05,1024725
2000-01-16,255.0,256.0,254.9,255.0,1500
2000-01-16,242.95,258.1,242.95,250.65,1482994
2000-01-16,250.0,250.0,250.0,250.0,40000
2000-01-17,251.0,251.0,249.45,249.45,700
2000-01-17,251.0,252.5,245.05,248.0,792347
2000-01-18,246.0,252.0,243.0,249.7,2750
2000-01-18,251.0,257.9,242.6,250.5,1221042
2000-01-19,250.0,250.0,233.6,235.7,557949
2000-01-20,230.1,233.8,225.5,232.2,696339
2000-01-23,220.0,220.0,217.1,217.1,50
2000-01-23,230.0,235.9,213.65,213.65,1125168
2000-01-24,200.35,204.9,196.6,196.6,706121
2000-01-26,190.0,193.0,180.9,180.9,1728526
2000-01-27,171.0,182.0,168.35,175.2,2671887
2000-01-30,179.95,189.25,179.95,181.0,2500
2000-01-30,171.15,188.7,170.05,179.7,2850688
2000-01-31,179.9,184.9,172.1,175.3,1206216
2000-01-31,179.5,180.0,176.1,177.3,5250
2000-02-01,184.0,186.9,178.35,180.1,896220
2000-02-01,179.95,184.9,179.5,183.0,5500
2000-02-02,180.0,181.75,176.75,177.35,390462
2000-02-03,179.0,179.95,172.8,178.95,805045
2000-02-06,178.1,182.5,175.35,177.8,472973
2000-02-06,179.1,179.1,178.05,178.05,800
2000-02-07,182.5,184.0,181.0,182.45,3650
2000-02-07,179.0,184.9,176.5,180.6,671633
2000-02-08,184.0,188.0,183.95,184.0,3301
2000-02-08,186.0,192.0,182.0,183.65,851000
2000-02-09,184.9,184.9,180.0,181.1,276973
2000-02-10,183.9,184.8,167.05,169.75,787181
2000-02-13,166.0,166.0,158.25,158.25,3850
2000-02-13,170.0,170.0,156.2,157.8,700837
2000-02-14,158.05,169.0,156.0,165.8,984192
2000-02-14,161.0,170.0,159.1,170.0,8450
2000-02-15,166.5,166.5,160.2,161.9,11050
2000-02-15,171.8,171.8,164.15,164.85,316694
2000-02-16,165.0,172.0,163.6,166.35,352975
2000-02-17,166.0,167.0,153.05,154.2,526451
2000-02-20,150.0,166.55,150.0,166.55,672967
2000-02-20,150.75,150.75,150.5,150.5,80000
2000-02-21,178.0,178.0,176.0,176.0,500
2000-02-21,173.9,179.9,170.3,179.9,635878
2000-02-22,192.75,192.75,185.0,185.0,80000
2000-02-22,189.9,194.0,166.25,168.05,1254749
2000-02-22,186.0,186.0,180.0,180.0,565
2000-02-23,170.9,174.9,165.95,170.25,469287
2000-02-24,174.45,183.9,166.55,182.9,892722
2000-02-27,184.0,184.0,174.1,181.05,651357
2000-02-28,180.05,183.4,166.6,166.6,835041
2000-02-28,174.0,174.0,170.0,170.0,500
2000-02-29,155.0,155.0,154.0,155.0,800
2000-02-29,167.0,172.0,154.0,157.6,1464975
2000-03-01,163.0,163.75,145.75,146.8,1313217
2000-03-02,137.0,141.9,135.1,135.1,1222358
2000-03-05,145.8,145.8,136.25,136.25,15000
2000-03-05,139.9,145.95,136.1,138.75,1705044
2000-03-06,130.0,139.6,130.0,132.1,1087675
2000-03-06,134.5,141.0,132.0,132.5,2100
2000-03-07,134.0,134.1,125.0,127.5,597334
2000-03-07,129.0,129.0,124.0,124.45,1475
2000-03-08,131.0,131.0,131.0,131.0,5000
